timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 16:50:54.601, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:50:59.601, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:04.602, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:09.602, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:14.603, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:19.603, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:24.604, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:29.604, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:34.605, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:39.605, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:44.606, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:49.606, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:54.607, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:51:59.608, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:52:04.608, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:52:09.609, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:52:14.609, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:52:19.610, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
